,DATE_REPORTED,DATE_OCCURRED,TIME_OCCURRED,PATROL_DIVISION,AREA_NAME,CRIME_CODE,CRIME_DESCRIPTION,VICTIM_AGE,VICTIM_SEX,VICTIM_RACE,PREMISE,LAT,LON
166,2010-03-12,2010-03-12,1520,1,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",UNKNOWN,M,Unknown,STREET,34.0499,-118.2614
167,2010-03-13,2010-03-13,1615,1,Central,624,BATTERY - SIMPLE ASSAULT,25-44,F,Black,SIDEWALK,34.0452,-118.2534
168,2010-03-14,2010-03-14,800,1,Central,220,ATTEMPTED ROBBERY,45-65,M,Black,SIDEWALK,34.0407,-118.2468
169,2010-03-14,2010-03-12,1700,1,Central,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,45-65,M,Other,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",34.0502,-118.25399999999999
170,2010-03-14,2010-03-14,2000,1,Central,761,BRANDISH WEAPON,65+,M,Hispanic/Latin/Mexican,OTHER PREMISE,34.0442,-118.2439
171,2010-03-15,2010-03-14,2050,1,Central,624,BATTERY - SIMPLE ASSAULT,<18,F,Hispanic/Latin/Mexican,OTHER STORE,34.0451,-118.2604
172,2010-03-15,2010-03-15,,1,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,18-24,F,Hispanic/Latin/Mexican,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",34.0407,-118.2468
173,2010-03-14,2010-03-14,2305,1,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),18-24,M,Hispanic/Latin/Mexican,SIDEWALK,34.0384,-118.2305
174,2010-03-16,2010-03-16,1650,1,Central,624,BATTERY - SIMPLE ASSAULT,45-65,F,Black,HOTEL,34.0446,-118.245
175,2010-03-18,2010-03-18,250,1,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),65+,F,Hispanic/Latin/Mexican,PAWN SHOP,34.0424,-118.2493
176,2010-03-18,2010-03-18,,1,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",25-44,M,White,RESTAURANT/FAST FOOD,34.0482,-118.2472
177,2010-03-18,2010-03-18,,1,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",25-44,F,White,RESTAURANT/FAST FOOD,34.0482,-118.2472
178,2010-03-19,2010-03-19,1000,13,Newton,624,BATTERY - SIMPLE ASSAULT,25-44,F,Hispanic/Latin/Mexican,OTHER BUSINESS,34.0371,-118.2475
179,2010-03-19,2010-03-19,1140,1,Central,210,ROBBERY,25-44,M,White,OTHER RESIDENCE,34.0446,-118.245
180,2010-03-23,2010-03-20,1215,1,Central,647,THROWING OBJECT AT MOVING VEHICLE,25-44,M,Black,"VEHICLE, PASSENGER/TRUCK",34.0627,-118.2463
181,2010-03-21,2010-03-21,320,1,Central,330,BURGLARY FROM VEHICLE,45-65,M,Other,STREET,34.0635,-118.2458
182,2010-03-21,2010-03-21,1000,11,Northeast,946,OTHER MISCELLANEOUS CRIME,UNKNOWN,M,White,SIDEWALK,34.0917,-118.2741
183,2010-03-21,2010-03-21,1315,1,Central,624,BATTERY - SIMPLE ASSAULT,45-65,M,White,SINGLE FAMILY DWELLING,34.0452,-118.2534
184,2010-03-22,2010-03-22,1330,1,Central,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),18-24,M,Black,DEPARTMENT STORE,34.048,-118.2577
185,2010-03-22,2010-03-19,1730,1,Central,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,<18,M,White,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",34.0317,-118.2641
186,2010-03-25,2010-03-22,1915,1,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",45-65,M,White,STREET,34.0516,-118.2526
187,2010-03-24,2010-03-22,2030,1,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),18-24,M,Black,OTHER BUSINESS,34.048,-118.2577
188,2010-03-25,2010-03-23,125,1,Central,310,BURGLARY,45-65,M,Other,OTHER BUSINESS,34.032,-118.2667
189,2010-03-23,2010-03-23,230,1,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",45-65,M,White,SINGLE FAMILY DWELLING,34.0717,-118.2493
190,2010-03-24,2010-03-24,2015,1,Central,624,BATTERY - SIMPLE ASSAULT,45-65,M,Hispanic/Latin/Mexican,SIDEWALK,34.0446,-118.245
191,2010-03-25,2010-03-25,240,1,Central,946,OTHER MISCELLANEOUS CRIME,25-44,F,Hispanic/Latin/Mexican,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",34.0475,-118.2657
192,2010-03-27,2010-03-27,530,1,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,25-44,F,Other,HOTEL,34.0454,-118.2657
193,2010-03-27,2010-03-27,1140,1,Central,624,BATTERY - SIMPLE ASSAULT,45-65,M,Other,JEWELRY STORE,34.0474,-118.2531
194,2010-03-27,2010-03-26,1500,1,Central,946,OTHER MISCELLANEOUS CRIME,45-65,M,Black,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",34.0496,-118.2458
195,2010-03-28,2010-03-28,,1,Central,251,SHOTS FIRED AT INHABITED DWELLING,65+,F,Black,WAREHOUSE,34.0449,-118.2415
196,2010-03-28,2010-03-28,100,1,Central,946,OTHER MISCELLANEOUS CRIME,45-65,M,White,RESTAURANT/FAST FOOD,34.045,-118.264
197,2010-04-01,2010-03-29,2320,1,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",UNKNOWN,M,Other,OTHER BUSINESS,34.0373,-118.2503
198,2010-03-31,2010-03-31,1515,1,Central,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,45-65,M,Hispanic/Latin/Mexican,SINGLE FAMILY DWELLING,34.0635,-118.2426
199,2010-04-03,2010-04-02,2230,1,Central,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),18-24,M,Hispanic/Latin/Mexican,PARKING LOT,34.0416,-118.2584
200,2010-04-03,2010-04-03,,1,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),25-44,F,Other,"VEHICLE, PASSENGER/TRUCK",34.0644,-118.2387
201,2010-04-06,2010-04-05,1940,1,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",18-24,M,Hispanic/Latin/Mexican,OTHER PREMISE,34.0442,-118.2439
